name,address,rankingPosition,rating,description,numberOfReviews,priceLevel,priceRange,city,latitude,longitude
Cook' n Saj,"5 rue Bernard Palissy, 75006 Paris France",115,5.0,Mediterranean fusion restaurant serving soulful food to unique people. Come and experience our way of hosting.,747,$,$5 - $25,Paris,48.853132,2.3320536
India StreEAT,"105 Rue Monge, 75005 Paris France",118,5.0,,266,$$ - $$$,$14 - $20,Paris,48.8404089,2.3518269
Can Alegria Paris,"73 rue Jean Baptiste Pigalle, 75009 Paris France",66,5.0,"Ancien cabaret où chantait Piaf à ses débuts, le restaurant Can Alegria poursuit l’histoire. Restaurant & bar, l’adresse chante la cuisine méditerranéenne et exotique, sert de bons vins et propose des cocktails originaux. Toujours dans la joie de vivre. Niché au cœur de Pigalle, ce lieu de partage a été pensé par la décoratrice Élodie Ricord. Le cadre chaleureux, combinant matières naturelles et couleur bleue rappelle la méditerranée et permet un voyage inédit à Paris. Le chef Marc-Antoine Colonna propose des plats qui ressemblent au lieu : une cuisine créative, avec une influence espagnole, qui change au rythme des saisons.",1290,$$ - $$$,$20 - $35,Paris,48.8818216,2.3368647
La Scene Par Stephanie Le Quellec,"32 avenue Matignon, 75008 Paris France",108,4.5,,292,$$$$,,Paris,48.8720354,2.314504
Tadam Paris,"14 rue du Jura, 75013 Paris France",143,5.0,"
          ",226,$$ - $$$,$25 - $50,Paris,48.8370478,2.3560076
Wine Therapy Bar a Vins,"35, Rue de Montholon, 75009 Paris France",91,5.0,,361,$$ - $$$,$12 - $20,Paris,48.8765193,2.3449372
Contraste,"18 rue d Anjou, 75008 Paris France",103,5.0,"Le restaurant Contraste se situe à Paris 8e, idéalement implanté entre la Concorde et la Madeleine. Les Chefs Kévin de Porre et Erwan Ledru sont à la tête de ce restaurant étoilé Maîtrise des gestes, précision des assaisonnements et des cuissons : une alchimie des saveurs émane des créations de ces jeunes talents. Ils dressent des assiettes lisibles dans le respect des saisons et des territoires et ont réussi à poser une certaine énergie au déjeuner et un frisson d’intimité au dîner. Contraste est une table ouverte où salle, cave à vins et cuisine se mêlent dans une moderne singularité.",245,$$$$,$55 - $150,Paris,48.8704774,2.3212791
Sacree fleur,"50 Rue de Clignancourt, 75018 Paris France",151,4.5,"Sacree fleur (ex Marguerite) is a traditional french cuisine restaurant, located just closed to Sacre Coeur in Montmartre. Speciality : the beef
Everything is homemade. We use fresh products",3729,$$ - $$$,$20 - $40,Paris,48.8875954,2.3479048
L'Arcane,"52 rue Lamarck, 75018 Paris France",137,5.0,,392,$$$$,,Paris,48.8893303,2.3420067
Johana's FISH & CHIPS,"30 rue Saint Sauveur, 75002 Paris France",135,4.5,,362,$,,Paris,48.8662801,2.3475925
