name,city_name,latitude,longitude,estimated_cost,opening_time,closing_time,closed_days
Porcs-épics,Paris,48.8454834,2.3595762,5,09:30,18:30,Monday
Outardes Houbara,Paris,48.8463094,2.3605176,5,09:30,18:30,Monday
Bharal,Paris,48.8456281,2.3605739,5,09:30,18:30,Monday
Chat de Pallas,Paris,48.8447297,2.3618426,5,09:30,18:30,Monday
Martre à gorge jaune,Paris,48.8447668,2.362017,5,09:30,18:30,Monday
Arkal,Paris,48.8443683,2.3597438,5,09:30,18:30,Monday
Nilgaut,Paris,48.8449237,2.3606068,5,09:30,18:30,Monday
Nandou,Paris,48.8447013,2.3610306,5,09:30,18:30,Monday
Versalles,Paris,48.8324071,2.2880076,5,09:30,18:30,Monday
Hôtel d'Estaing,Lyon,45.7615067,4.8272594,5,09:30,18:30,Monday
Sortie des Catacombes,Paris,48.8295257,2.3345327,5,09:30,18:30,Monday
Montparnasse,Paris,48.8424217,2.3286868,5,09:30,18:30,Monday
Maison des Canuts,Lyon,45.777106,4.8336847,15,09:30,18:30,Monday
Musée National de l'Histoire de l'Immigration,Paris,48.8351424,2.4093613,15,09:30,18:30,Monday
"Plaque commémorant la première frappe du canon allemand « Pariser Kanonen », le 23 mars 1918",Paris,48.8847546,2.3708845,5,09:30,18:30,Monday
Barthélémy,Paris,48.8544952,2.3255993,5,09:30,18:30,Monday
King Aventure,Lyon,45.8015106,4.7665084,60,09:30,18:30,Monday
Musée Jean Couty,Lyon,45.797918,4.8293849,15,09:30,18:30,Monday
Musée de la Musique,Paris,48.8901928,2.393712,15,09:30,18:30,Monday
Plan d'eau - Espace vert Pré de la Grand Font,Lyon,45.6802188,4.477162,0,09:30,18:30,Monday
Gnomon astronomique,Paris,48.8512608,2.3349582,5,09:30,18:30,Monday
Musée de la psychiatrie et des neurosciences,Paris,48.8297287,2.3400182,15,09:30,18:30,Monday
Pont du Carroussel,Paris,48.8592971,2.3328879,5,09:30,18:30,Monday
Pont Morland,Paris,48.8471128,2.3659914,5,09:30,18:30,Monday
Angle des rues des Saules et Francœur,Paris,48.8908314,2.3405192,5,09:30,18:30,Monday
Rue des Rosiers,Paris,48.8577892,2.3581374,5,09:30,18:30,Monday
Square de Montsouris,Paris,48.8236132,2.3336268,5,09:30,18:30,Monday
Rue Lamarck,Paris,48.8888739,2.3438778,5,09:30,18:30,Monday
Rue de l'Abreuvoir,Paris,48.8882109,2.3389711,5,09:30,18:30,Monday
Gare Abandonnée - Ateliers d’Avron,Paris,48.8535156,2.4076479,5,09:30,18:30,Monday
La Petite Alsace,Paris,48.8278467,2.3463423,5,09:30,18:30,Monday
Les Bateaux Lyonnais,Lyon,45.7609435,4.8307512,5,09:30,18:30,Monday
Atelier Mattelon,Lyon,45.7801248,4.8353898,15,09:30,18:30,Monday
Villa et Jardin Bagatelle,Lyon,45.6661314,4.8262489,5,09:30,18:30,Monday
Maison Natale du Curé d'Ars,Lyon,45.804587,4.7534242,15,09:30,18:30,Monday
